composer,composerLabel,birth,death,countryLabel
http://www.wikidata.org/entity/Q55524,Marc-Antoine Charpentier,1643-01-01T00:00:00Z,1704-02-24T00:00:00Z,Kingdom of France
http://www.wikidata.org/entity/Q55621,Géza Frid,1904-01-25T00:00:00Z,1989-09-13T00:00:00Z,Hungary
http://www.wikidata.org/entity/Q55621,Géza Frid,1904-01-25T00:00:00Z,1989-09-13T00:00:00Z,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q55745,Govindrao Tembe,1881-06-05T00:00:00Z,1955-08-09T00:00:00Z,India
http://www.wikidata.org/entity/Q55745,Govindrao Tembe,1881-06-05T00:00:00Z,1955-10-09T00:00:00Z,India
http://www.wikidata.org/entity/Q55745,Govindrao Tembe,1881-06-05T00:00:00Z,1955-08-09T00:00:00Z,British Raj
http://www.wikidata.org/entity/Q55745,Govindrao Tembe,1881-06-05T00:00:00Z,1955-10-09T00:00:00Z,British Raj
http://www.wikidata.org/entity/Q55745,Govindrao Tembe,1881-06-05T00:00:00Z,1955-08-09T00:00:00Z,Dominion of India
http://www.wikidata.org/entity/Q55745,Govindrao Tembe,1881-06-05T00:00:00Z,1955-10-09T00:00:00Z,Dominion of India
http://www.wikidata.org/entity/Q55785,Ryszard Rynkowski,1951-10-09T00:00:00Z,,Poland
http://www.wikidata.org/entity/Q55988,Félicien Menu de Ménil,1860-07-16T00:00:00Z,1930-03-28T00:00:00Z,France
http://www.wikidata.org/entity/Q56094,Francis Ford Coppola,1939-04-07T00:00:00Z,,United States
http://www.wikidata.org/entity/Q56158,Georges Bizet,1838-10-25T00:00:00Z,1875-06-03T00:00:00Z,France
http://www.wikidata.org/entity/Q56171,Hugh Seymour Davies,1943-04-23T00:00:00Z,2005-01-01T00:00:00Z,United Kingdom
http://www.wikidata.org/entity/Q56649,Louis François Dauprat,1781-05-24T00:00:00Z,1868-07-16T00:00:00Z,France
http://www.wikidata.org/entity/Q56783,Henry Krtschil,1932-10-03T00:00:00Z,2020-07-07T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57139,Max Reger,1873-03-19T00:00:00Z,1916-05-11T00:00:00Z,Kingdom of Bavaria
http://www.wikidata.org/entity/Q57178,Eugen d'Albert,1864-04-10T00:00:00Z,1932-03-03T00:00:00Z,Germany
http://www.wikidata.org/entity/Q57210,Arthur Nikisch,1855-10-12T00:00:00Z,1922-01-23T00:00:00Z,Hungary
http://www.wikidata.org/entity/Q57210,Arthur Nikisch,1855-10-12T00:00:00Z,1922-01-24T00:00:00Z,Hungary
http://www.wikidata.org/entity/Q57210,Arthur Nikisch,1855-10-12T00:00:00Z,1922-01-23T00:00:00Z,Austria
